net	condition	timestep	distance
9	1	1	0.26968536
9	2	1	0.23646751
9	0	2	0.25671253
9	1	2	0.2586297
9	2	2	0.230771
9	0	3	0.25405544
9	1	3	0.25354022
9	2	3	0.23096806
9	0	4	0.25172198
9	1	4	0.24705952
9	2	4	0.23169886
9	0	5	0.2462165
9	1	5	0.2368374
9	2	5	0.22880995
9	0	6	0.23918584
9	1	6	0.225124
9	2	6	0.22366384
9	0	7	0.23211756
9	1	7	0.21414122
9	2	7	0.21780759
9	0	8	0.2256985
9	1	8	0.20438345
9	2	8	0.21255384
9	0	9	0.22005469
9	1	9	0.19601849
9	2	9	0.20792972
9	0	10	0.21539778
9	1	10	0.1898638
9	2	10	0.20451039
9	0	11	0.21200658
9	1	11	0.18596938
9	2	11	0.20230705
9	0	12	0.20997365
9	1	12	0.1843786
9	2	12	0.20113878
9	0	13	0.20929763
9	1	13	0.18422726
9	2	13	0.2017498
9	0	14	0.20988955
9	1	14	0.18551782
9	2	14	0.2030495
9	0	15	0.21138024
9	1	15	0.1877034
9	2	15	0.20530759
9	0	16	0.2140029
9	1	16	0.18990707
9	2	16	0.2081
9	0	17	0.21734105
9	1	17	0.19253115
9	2	17	0.21134254
9	0	18	0.22096545
9	1	18	0.19536181
9	2	18	0.21459533
9	0	19	0.2245393
9	1	19	0.1978833
9	2	19	0.21787357
9	0	20	0.22815582
9	1	20	0.20000526
9	2	20	0.221225
9	0	21	0.23166844
9	1	21	0.2023512
9	2	21	0.22515425
