net	condition	timestep	distance
8	1	8	-0.001836881
8	2	8	-0.0017483532
8	0	9	0.0017662644
8	1	9	-0.0031567812
8	2	9	-0.0049230456
8	0	10	0.0025338978
8	1	10	-0.0044888854
8	2	10	-0.007022783
8	0	11	0.003197804
8	1	11	-0.005499512
8	2	11	-0.008697316
8	0	12	0.0031881034
8	1	12	-0.0069644004
8	2	12	-0.010152504
8	0	13	0.0028794557
8	1	13	-0.008383945
8	2	13	-0.0112634
8	0	14	0.0021673888
8	1	14	-0.009555504
8	2	14	-0.0117228925
8	0	15	0.0011337101
8	1	15	-0.01119712
8	2	15	-0.01233083
8	0	16	-0.00020112097
8	1	16	-0.012797624
8	2	16	-0.012596503
8	0	17	-0.0012858659
8	1	17	-0.0144587755
8	2	17	-0.01317291
8	0	18	-0.0024221241
8	1	18	-0.016232938
8	2	18	-0.013810813
8	0	19	-0.0036141872
8	1	19	-0.017979413
8	2	19	-0.014365226
8	0	20	-0.0047642887
8	1	20	-0.019860998
8	2	20	-0.015096709
8	0	21	-0.006154731
8	1	21	-0.022130057
8	2	21	-0.015975326
9	0	0	0.011118889
9	1	0	0.05050668
9	2	0	0.039387792
9	0	1	-0.0026022494
9	1	1	0.030615598
9	2	1	0.033217847
9	0	2	-0.0019171834
9	1	2	0.02594152
9	2	2	0.027858704
9	0	3	0.00051522255
9	1	3	0.023087382
9	2	3	0.02257216
9	0	4	0.004662454
9	1	4	0.020023122
9	2	4	0.015360668
9	0	5	0.009379104
9	1	5	0.017406553
9	2	5	0.008027449
9	0	6	0.014061838
9	1	6	0.015522003
9	2	6	0.0014601648
9	0	7	0.017976344
9	1	7	0.0143099725
9	2	7	-0.003666371
9	0	8	0.021315053
9	1	8	0.013144657
9	2	8	-0.008170396
9	0	9	0.024036199
9	1	9	0.012124971
9	2	9	-0.011911228
9	0	10	0.025533974
9	1	10	0.010887384
9	2	10	-0.01464659
9	0	11	0.026037201
9	1	11	0.009699538
9	2	11	-0.016337663
9	0	12	0.025595054
9	1	12	0.008834869
9	2	12	-0.016760185
9	0	13	0.02507037
9	1	13	0.0075478256
9	2	13	-0.017522544
9	0	14	0.024371728
9	1	14	0.00684005
9	2	14	-0.017531678
9	0	15	0.023676842
9	1	15	0.0060726553
9	2	15	-0.017604187
9	0	16	0.024095833
9	1	16	0.0059029013
9	2	16	-0.018192932
9	0	17	0.024809897
9	1	17	0.005998507
9	2	17	-0.01881139
9	0	18	0.025603637
9	1	18	0.0063701123
9	2	18	-0.019233525
9	0	19	0.026656002
9	1	19	0.0066657215
9	2	19	-0.01999028
9	0	20	0.028150558
9	1	20	0.006930828
9	2	20	-0.02121973
9	0	21	0.029317245
9	1	21	0.0065141916
9	2	21	-0.022803053
